ProkID	BinId	Seq_Tech	Assembler	Gen_Coverage	Assem_Lvl	RGA	Seq_Tech2	Assembler2	Gen_Coverage2	Gravity	Category	Sample_Type	Host_Health	Sample_Site	Sample_Site_2	Strain	Culture_Media	Reference
GCA_000003955_prok	GCA_000003955.1_ASM395v1_genomic	454	Newbler v. 1.1.03.19	20.9	Chromosome	de-novo	454	Newbler	20.9	Earth	Human	Blood		Iceland	Iceland	AH1273	Brain heart infusion medium	Zwick et al. 2012
GCA_000021205_prok	GCA_000021205.1_ASM2120v1_genomic	NA	NA	NA	Complete genome		NA	NA	NA	Earth	Human	Blood		NA	NA	B4264	NA	TIGR
GCA_000021785_prok	GCA_000021785.1_ASM2178v1_genomic	NA	NA	NA	Complete genome		NA	NA	NA	Earth	Human	Oral	marginal periodontitis	Norway: Akershus	Norway: Akershus	AH820	NA	TIGR
GCA_000160935_prok	GCA_000160935.1_ASM16093v1_genomic	454	Newbler v. 1.1.03.19	34.1	Chromosome	de-novo	454	Newbler	34.1	Earth	Human	Skin lesion		NA	NA	172560W	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000160975_prok	GCA_000160975.1_ASM16097v1_genomic	454	Newbler v. 1.1.03.19	8.5	Chromosome	de-novo	454	Newbler	8.5	Earth	Soil	Soil		Norway	Norway	AH621	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161135_prok	GCA_000161135.1_ASM16113v1_genomic	454	Newbler v. 1.1.03.19	9.2	Chromosome	de-novo	454	Newbler	9.2	Earth	Human	Blood		United Kingdom	United Kingdom	95/8201	Brain heart infusion medium	Zwick et al. 2012
GCA_000161155_prok	GCA_000161155.1_ASM16115v1_genomic	454	Newbler v. 1.1.03.19	7.5	Chromosome	de-novo	454	Newbler	7.5	Earth	Soil	Soil		USA: Maryland: Rockville	USA: Maryland	Rock1-3	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161175_prok	GCA_000161175.1_ASM16117v1_genomic	454	Newbler v. 1.1.03.19	16.9	Chromosome	de-novo	454	Newbler	16.9	Earth	Soil	Soil		USA: Maryland: Rockville	USA: Maryland	Rock1-15	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161215_prok	GCA_000161215.1_ASM16121v1_genomic	454	NA	19.1	Chromosome		454	NA	19.1	Earth	Soil	Soil		USA: Maryland: Rockville	USA: Maryland	Rock3-29	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161235_prok	GCA_000161235.1_ASM16123v1_genomic	454	Newbler v. 1.1.03.19	9.5	Chromosome	de-novo	454	Newbler	9.5	Earth	Soil	Soil		USA: Maryland: Rockville	USA: Maryland	Rock3-42	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161295_prok	GCA_000161295.1_ASM16129v1_genomic	454	Newbler v. April-2008	9	Chromosome		454	Newbler	9	Earth	Soil	Soil		USA: Maryland: Rockville	USA: Maryland	Rock4-18	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000161355_prok	GCA_000161355.1_ASM16135v1_genomic	454	Newbler v. 1.1.03.19	12.9	Chromosome	de-novo	454	Newbler	12.9	Earth	Soil	Soil		Norway	Norway	AH676	Bacillus cereus selective agar	Zwick et al. 2012
GCA_000256545_prok	GCA_000256545.1_ASM25654v1_genomic	Illumina HiSeq 2000	SOAPdenovo v. 1.05	163	Scaffold		Illumina	SOAPdenovo	163	Earth	Cul_Earth	Culture		China: Guandong: Shenzen	China: Guandong	LCT-BC244	Luria-Bertani medium	Su et al. 2014
GCA_000440035_prok	GCA_000440035.1_Bacillus_cereus_LCT-BC25_genomic	Illumina HiSeq 	SOAPdenovo v. 1.05	100	Scaffold	de-novo	Illumina	SOAPdenovo	100	Space	Cul_SC	Culture		ShenZhou VIII (11/17/11)	ShenZhou VIII (11/17/11)	LCT-BC25	Luria-Bertani medium	Su et al. 2014
GCA_000440055_prok	GCA_000440055.1_Bacillus_cereus_LCT-BC235_genomic	Illumina HiSeq 	SOAPdenovo v. 1.05	100	Scaffold	de-novo	Illumina	SOAPdenovo	100	Space	Cul_SC	Culture		ShenZhou VIII (11/17/11)	ShenZhou VIII (11/17/11)	LCT-BC235	Luria-Bertani medium	Su et al. 2014
GCA_000688755_prok	GCA_000688755.1_CLC_6.0.4_of_Bacillus_cereus_BcFL2013_genomic	Illumina GAIIx	CLC Genomics Workbench v. 6.0.4	140	Scaffold	de-novo	Illumina	CLC	140	Earth	Human	Skin lesion	Anthrax-like skin lesion	USA: Florida	USA: Florida	BcFL2013	NA	Gee et al. 2014
GCA_000789315_prok	GCA_000789315.1_ASM78931v1_genomic	Illumina; PacBio; 454	Newbler v. 2.6; Velvet v. 1.1.05; Allpaths v. 39750; Phrap v. SPS - 4.24	293; 29; 11	Complete genome	de-novo	Multiple	Multiple	293	Earth	Human	Blood		USA	USA	03BB87	NA	Johnson et al., 2015b
GCA_000832405_prok	GCA_000832405.1_ASM83240v1_genomic	Illumina; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24	332	Complete genome		Multiple	Multiple	332	Earth	Human	Blood		USA: Texas: San Antonio	USA: Texas	03BB102	NA	Johnson et al., 2015
GCA_000832805_prok	GCA_000832805.1_ASM83280v1_genomic	Illumina; PacBio	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0	498	Complete genome		Multiple	Multiple	498	Earth	Human	NA		USA: Louisiana	USA: Louisiana	G9241	NA	Johnson et al., 2015
GCA_000832865_prok	GCA_000832865.1_ASM83286v1_genomic	Illumina; PacBio	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0	484	Complete genome		Multiple	Multiple	484	Earth	BE_Earth	Dust		USA: Texas	USA: Texas	03BB108 	NA	Johnson et al., 2015
GCA_000835185_prok	GCA_000835185.1_ASM83518v1_genomic	Illumina; PacBio; 454	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 44837; Phrap v. SPS - 4.24; HGAP v. 2.2.0	429	Complete genome		Multiple	Multiple	429	Earth	Soil	Soil		USA: Wisconsin: Madison	USA: Wisconsin	S2 8 	NA	Johnson et al., 2015
GCA_001044475_prok	GCA_001044475.1_ASM104447v1_genomic	Illumina MiSeq	ABySS v. 1.3.7	126	Scaffold	de-novo	Illumina	ABySS	126	Earth	Human	Feces		NA	NA	7/27/S	Custon plate count medium	Bohm et al. 2015
GCA_001044555_prok	GCA_001044555.1_ASM104455v1_genomic	Illumina MiSeq	ABySS v. 1.3.7	97	Scaffold	de-novo	Illumina	ABySS	97	Earth	Human	Feces		NA	NA	F3162-04	Custon plate count medium	Bohm et al. 2015
GCA_001044645_prok	GCA_001044645.1_ASM104464v1_genomic	Illumina	ABySS v. 1.3.7	93	Scaffold	de-novo	Illumina	ABySS	93	Earth	Human	Feces		NA	NA	F3175-03	Custon plate count medium	Bohm et al. 2015
GCA_001044735_prok	GCA_001044735.1_ASM104473v1_genomic	Illumina	ABySS v. 1.3.7	166	Scaffold	de-novo	Illumina	ABySS	166	Earth	Human	Feces		Netherlands	Netherlands	RIVM BC 90	Custon plate count medium	Bohm et al. 2015
GCA_001044745_prok	GCA_001044745.1_ASM104474v1_genomic	Illumina	ABySS v. 1.3.7	129	Scaffold	de-novo	Illumina	ABySS	129	Earth	Human	Feces		Netherlands	Netherlands	RIMV BC 126	Custon plate count medium	Bohm et al. 2015
GCA_001044955_prok	GCA_001044955.1_ASM104495v1_genomic	Illumina MiSeq	ABySS v. 1.3.7	112	Scaffold	de-novo	Illumina	ABySS	112	Earth	Human	Feces		NA	NA	6/27/S	Custon plate count medium	Bohm et al. 2015
GCA_001058585_prok	GCA_001058585.1_ASM105858v1_genomic	Illumina HiSeq	ABYSS v. 1.3.5	13	Scaffold		Illumina	ABySS	13	Earth	Human	NA		USA: Washington	USA: Washington	820_BCER	Luria-Bertani medium	Roach et al. 2015
GCA_001059825_prok	GCA_001059825.1_ASM105982v1_genomic	Illumina HiSeq	ABYSS v. 1.3.5	19	Scaffold		Illumina	ABySS	19	Earth	Human	NA		USA: Washington	USA: Washington	896_BCER	Luria-Bertani medium	Roach et al. 2015
GCA_001059875_prok	GCA_001059875.1_ASM105987v1_genomic	Illumina HiSeq	ABYSS v. 1.3.5	20	Contig		Illumina	ABySS	20	Earth	Human	NA		USA: Washington	USA: Washington	910_BCER	Luria-Bertani medium	Roach et al. 2015
GCA_001077095_prok	GCA_001077095.1_ASM107709v1_genomic	Illumina HiSeq	ABYSS v. 1.3.5	15	Scaffold		Illumina	ABySS	15	Earth	Human	NA		USA: Washington	USA: Washington	822_BCER	Luria-Bertani medium	Roach et al. 2015
GCA_001286825_prok	GCA_001286825.1_Bacillus_JRS4_genomic	Illumina MiSeq	Velvet	83	Contig		Illumina	Velvet	83	Earth	Soil	Soil		Saudi Arabia: Jeddah	Saudi Arabia: Jeddah	JRS4	Luria-Bertani medium	Abo-Aba et al. 2015
GCA_001683695_prok	GCA_001683695.1_ASM168369v1_genomic	454	Newbler v. NOV-2009	13	Contig	de-novo	454	Newbler	13	Earth	Human	Cerebrospinal fluid		France: Paris	France: Paris	B06.009	NA	Haverkamp, Unpublished
GCA_001683705_prok	GCA_001683705.1_ASM168370v1_genomic	454	Newbler v. Oct-2009	23	Contig	de-novo	454	Newbler	23	Earth	Human	Eye	eye infection	Norway: Skien	Norway: Skien	AH725	NA	Haverkamp, Unpublished
GCA_001699805_prok	GCA_001699805.1_ASM169980v1_genomic	Illumina	A5-miseq v. 20150522	76	Contig	de-novo	Illumina	A5	76	Earth	Soil	Soil		Australia	Australia	LCR12	NA	Egidi et al. 2016
GCA_001895235_prok	GCA_001895235.1_ASM189523v1_genomic	Illumina MiSeq	CLC NGS Cell v. 8.0.2	45	Scaffold	de-novo	Illumina	CLC	45	Earth	Human	Breast milk	Food poisoning	France: Paris	France: Paris	16SBCL1279	NA	Wudstra, Unpublished
GCA_001909175_prok	GCA_001909175.1_ASM190917v1_genomic	Illumina NextSeq 500	SPAdes v. March-2016	94	Scaffold	reference-guided	Illumina	Spades	94	Earth	Human	Feces		India	India	BC04	NA	Srinivasan, Unpublished
GCA_001936485_prok	GCA_001936485.1_ASM193648v1_genomic	Illumina MiSeq; PacBio	Celera Assembler v. 8.3	14	Scaffold	de-novo	Multiple	Celera	14	Space	BE_ISS	Air		ISS-US Node 2: Air (05/01/11)	US Node 2: Air (05/01/11)	ISSFR-23F	HEPA medium to R2A medium	Venkateswaran et al. 2017
GCA_001941885_prok	GCA_001941885.1_ASM194188v1_genomic	Illumina MiSeq; PacBio	Celera Assembler v. 8.3	42	Complete genome		Multiple	Celera	42	Space	BE_ISS	Air		ISS-US Node 2: Air (05/01/11)	US Node 2: Air (05/01/11)	ISSFR-9F	HEPA medium to R2A medium	Venkateswaran et al. 2017
GCA_001941905_prok	GCA_001941905.1_ASM194190v1_genomic	Illumina MiSeq; PacBio	Celera Assembler v. 8.3	202	Complete genome		Multiple	Celera	202	Space	BE_ISS	Air		ISS-US Node 2: Air (05/01/11)	US Node 2: Air (05/01/11)	ISSFR-3F	HEPA medium to R2A medium	Venkateswaran et al. 2017
GCA_001941925_prok	GCA_001941925.1_ASM194192v1_genomic	Illumina MiSeq; PacBio	Celera Assembler v. 8.3	80	Complete genome		Multiple	Celera	80	Space	BE_ISS	Surface		ISS-Kibo JEM: Surface (04/30/09)	JEM Kibo: Surface (04/30/09)	JEM-2	Triptocase soy agar	Venkateswaran et al. 2017
