Number	Gene Product	GO Bio 2
1	Alpha-D-kanosaminyltransferase	antibiotic_biosynthesis
2	Cold shock-like protein CspLA	stress response
3	Ubiquinone biosynthesis O-methyltransferase	biosynthesis_other
4	Anhydrotetracycline monooxygenase	antibiotic_biosynthesis
5	Serine/threonine-protein kinase StkP	other
6	Putative acyl-[acyl-carrier-protein] desaturase DesA1	biosynthesis_other
7	Type IV secretion system protein VirB11	virulence
8	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	catabolism
9	UDP-N-acetyl-D-mannosamine dehydrogenase	biosynthesis_other
10	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	catabolism
11	5-dehydro-2-deoxygluconokinase	other
12	Glutathione import ATP-binding protein GsiA	transport
13	Glutathione-binding protein GsiB	transport
14	Inositol 2-dehydrogenase	catabolism
15	Inosose dehydratase	catabolism
16	Putative endo-beta-N-acetylglucosaminidase	other
17	putative HTH-type transcriptional regulator	transcription
18	putative response regulatory protein	transcription
19	RNA polymerase sigma factor SigV	transcription
20	Sensor histidine kinase YehU	other
21	Putative mycofactocin radical SAM maturase MftC	other
22	RutC family protein	catabolism
23	3-oxo-glucose-6-phosphate:glutamate aminotransferase	antibiotic_biosynthesis
24	5-deoxy-glucuronate isomerase	catabolism
25	6-deoxy-6-sulfogluconolactonase	other
26	Acetylxylan esterase	metabolism
27	Inner membrane protein YbjJ	transport
28	Kanosamine-6-phosphate phosphatase	antibiotic_biosynthesis
29	Nitrogen fixation protein VnfA	metabolism
30	putative crotonobetaine/carnitine-CoA ligase	metabolism
31	Tyrosine-protein phosphatase YwqE	other
32	Response regulator aspartate phosphatase I	other
33	DNA-invertase hin	other
34	L-2,4-diaminobutyrate decarboxylase	biosynthesis_other
35	Response regulator MprA	stress response
36	Tyrocidine synthase 3	antibiotic_biosynthesis
37	tRNA(Glu)-specific nuclease WapA	toxin-antitoxin
