	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56
1	5859	1139	131	498	20	910	1927	40	903	30	1284	277	10	561	759	802	291	315	453	44	377	65	298	254	5	127	186	348	626	287	392	5	526	231	111	52	275	314	27	754	89	407	234	1332	223	243	80	185	773	1377	239	22	905	236	41	272
2	5425	1887	572	868	1656	789	679	382	1436	482	98	293	450	451	46	513	378	308	117	149	93	141	799	290	389	71	277	221	825	54	531	247	199	410	1426	303	1354	99	52	411	223	370	105	224	154	148	158	959	15	235	5	158	2	183	21	40
3	5673	1869	1143	964	5	1055	586	1255	641	689	454	594	353	1309	254	431	17	117	110	89	27	368	352	36	394	851	296	300	562	241	289	278	412	486	410	91	269	24	222	6	326	71	96	738	248	89	1305	891	32	179	69	236	176	5	139	49
4	5444	1602	1255	607	1124	304	878	856	837	77	445	43	210	107	454	320	16	462	239	139	1539	216	8	463	355	493	1605	1071	471	215	91	239	209	384	1118	476	403	2	751	15	83	242	245	189	34	281	270	221	235	181	82	5	234	87	40	199
5	5444	296	2122	1036	1157	300	40	706	433	933	392	141	387	329	538	7	1628	626	477	1135	446	305	789	412	43	70	100	100	381	217	279	122	546	89	234	212	47	790	301	4	318	485	1379	80	269	254	179	22	215	359	104	2	406	31	195	259
6	6206	1316	1372	717	1899	387	505	632	741	370	533	668	481	247	83	211	282	1252	69	212	409	297	317	5	255	1420	106	297	980	28	246	62	376	82	7	456	201	278	238	69	166	6	252	92	326	240	800	366	15	325	143	32	177	288	397	234
7	5210	1399	1773	2110	810	391	776	226	563	971	420	374	299	1673	268	266	368	347	41	55	451	31	179	272	607	431	274	4	865	91	29	3	348	258	106	1241	136	69	78	289	45	7	259	353	271	94	4	178	355	966	397	325	99	396	143	177
8	5382	1875	674	1286	76	107	884	586	824	543	734	296	142	55	1730	380	254	1379	97	278	550	404	623	38	272	651	356	11	375	9	290	166	105	15	293	267	60	563	417	802	92	70	22	353	182	254	212	219	3	1312	238	90	140	176	3	956
9	5824	1745	1661	629	522	509	246	799	47	264	955	423	1705	342	61	8	170	16	212	446	633	340	1177	561	91	939	528	995	346	269	303	35	69	13	109	105	107	189	241	182	241	3	288	1361	90	338	184	243	235	209	332	397	94	155	5	180
10	6824	1821	685	135	1173	679	522	508	409	1476	1609	287	846	498	88	418	683	246	553	59	349	277	536	334	104	169	292	315	93	4	958	36	880	100	494	71	261	14	3	210	25	159	514	105	253	146	278	178	52	53	771	68	141	354	40	15
11	5641	1889	453	1276	799	1012	844	30	293	709	1459	804	586	554	518	34	360	417	312	382	51	232	213	255	75	289	4	1441	281	132	244	302	306	539	226	15	88	157	5	243	69	188	199	1330	76	34	68	50	962	87	30	222	140	724	234	288
12	5547	1170	1295	1068	487	1152	876	54	21	524	55	513	501	103	1702	479	416	668	498	71	139	308	394	525	1100	224	67	281	1532	237	823	234	218	178	305	30	406	103	1107	6	470	274	2	282	300	290	145	15	184	262	177	18	79	139	13	104
13	5425	1232	1122	926	907	786	691	1669	108	1687	627	1012	349	1262	337	587	439	103	87	269	243	298	383	298	329	35	16	20	799	7	441	264	52	145	369	187	234	294	380	183	43	104	264	50	23	204	238	318	247	5	2	929	394	209	148	391
14	5201	1923	1032	527	1837	437	837	696	262	1769	461	470	418	1407	513	633	414	144	72	358	299	413	231	301	6	25	348	15	237	221	292	311	981	299	362	34	105	477	207	49	242	26	246	91	32	82	791	5	405	275	77	167	50	724	195	139
15	6824	1625	744	550	1005	806	614	1686	440	701	390	744	372	207	1153	124	78	347	326	492	347	114	505	391	862	108	150	100	506	255	358	155	55	73	355	277	257	3	290	949	340	6	192	82	212	217	727	4	234	179	44	49	204	94	234	15
16	5711	1444	1938	1333	755	437	466	710	439	609	289	894	314	405	262	71	124	209	16	565	386	112	297	517	189	1497	432	34	35	468	948	371	276	1373	378	90	742	174	241	54	101	237	216	335	23	180	34	81	13	2	234	235	88	288	5	494
17	5895	1994	943	1598	1253	1275	757	713	490	588	315	651	270	382	367	416	367	180	216	225	314	111	222	462	1443	5	773	53	95	274	280	211	469	103	453	340	72	18	27	83	288	351	963	146	2	273	23	205	15	47	51	210	231	361	69	233
18	5673	1214	755	457	1425	19	606	107	930	741	10	46	500	258	108	9	1505	398	486	229	624	488	346	1501	943	289	297	115	371	270	272	249	123	3	35	451	53	289	200	195	13	93	89	1004	80	154	397	193	46	505	275	217	776	207	240	1292
19	5541	1843	594	900	660	613	273	729	763	453	954	1432	1596	375	354	285	417	39	304	1586	407	368	393	479	217	292	366	204	101	241	364	484	153	99	910	82	81	255	223	49	7	3	20	31	735	105	264	498	46	97	297	234	87	231	15	22
20	5769	1828	798	1074	60	685	496	632	1705	1713	22	125	424	430	337	5	1183	599	274	527	58	557	367	137	486	357	1085	290	789	268	379	34	414	201	251	47	411	275	11	264	417	34	209	24	54	241	341	775	18	143	228	83	15	69	66	87
21	5859	2101	1099	672	563	541	369	1765	1307	303	598	365	379	12	282	345	272	334	463	194	81	17	39	1195	314	378	363	996	290	544	90	210	205	3	123	80	605	792	399	99	235	216	188	239	152	96	254	396	31	70	1319	104	9	23	180	13
