Prok_ID	SRA_Name	GCA_Counterpart	Category	Gravity	Sample_Type	Sample_Site	Strain	Reference
SRR1617632__prok	SRR1617632	GCA_000789315_prok	Human	Earth	Blood	USA	03BB87	Johnson et al., 2015b
SRR1656267__prok	SRR1656267	GCA_001058585_prok	Human	Earth	NA	USA: Washington	820_BCER	Roach et al. 2015
SRR1656269__prok	SRR1656269	GCA_001077095_prok	Human	Earth	NA	USA: Washington	822_BCER	Roach et al. 2015
SRR1656335__prok	SRR1656335	GCA_001059825_prok	Human	Earth	NA	USA: Washington	896_BCER	Roach et al. 2015
SRR1656350__prok	SRR1656350	GCA_001059875_prok	Human	Earth	NA	USA: Washington	910_BCER	Roach et al. 2015
SRR2164311__prok	SRR2164311	GCA_000832805_prok	Human	Earth	NA	USA: Louisiana	G9241	Johnson et al., 2015
SRR2167785__prok 	SRR2167785 	GCA_000832865_prok	BE_Earth	Earth	Dust	USA: Texas	03BB108 	Johnson et al., 2015
SRR2171381__prok	SRR2171381	GCA_000835185_prok	Soil	Earth	Soil	USA: Wisconsin: Madison	S2 8 	Johnson et al., 2015
SRR2171418__prok	SRR2171418	GCA_000832405_prok	Human	Earth	Blood	USA: Texas: San Antonio	03BB102	Johnson et al., 2015
SRR3954738__prok	SRR3954738	GCA_001941885_prok	BE_Space	Space	Air	International Space Station	ISSFR-9F	Venkateswaran et al. 2017
SRR3954739__prok	SRR3954739	GCA_002151615_prok	BE_Space	Space	Surface	International Space Station	S2-R3J1-FB-BA1	Venkateswaran et al. 2017
SRR3954741__prok	"SRR3954741	"	GCA_002151595_prok	BE_Space	Space	Air	International Space Station	ISSFR-25F	Venkateswaran et al. 2017
SRR3954742__prok	SRR3954742	GCA_002150025_prok	BE_Space	Space	Surface	International Space Station	JEM-1	Venkateswaran et al. 2017
SRR3954743__prok	"SRR3954743	"	GCA_002151675_prok	BE_Space	Space	Surface	International Space Station	S1-R1J2-FB	Venkateswaran et al. 2017
SRR3954744__prok	SRR3954744	GCA_002151625_prok	BE_Space	Space	Surface	International Space Station	S1-R2T1-FB	Venkateswaran et al. 2017
SRR3954745__prok	SRR3954745	GCA_002151665_prok	BE_Space	Space	Surface	International Space Station	S1-R4H1-FB	Venkateswaran et al. 2017
SRR3954747__prok	SRR3954747	GCA_001941925_prok	BE_Space	Space	Surface	International Space Station	JEM-2	Venkateswaran et al. 2017
SRR4420705__prok	SRR4420705	GCA_001895235_prok	Human	Earth	Breast milk	France: Paris	16SBCL1279	Wudstra, Unpublished
