	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
Beta-lactam-inducible penicillin-binding protein	0	0	2	53	0	0	0	0	8.33333333333333	96.3636363636364	Beta-lactam-inducible penicillin-binding protein	5.59018419584089e-24	4.83271423730445e-21
Bifunctional protein PaaZ	0	0	2	53	0	0	0	0	8.33333333333333	96.3636363636364	Bifunctional protein PaaZ	5.59018419584089e-24	4.83271423730445e-21
Methicillin resistance mecR1 protein	0	0	2	50	0	0	0	0	8.33333333333333	90.9090909090909	Methicillin resistance mecR1 protein	1.44128001422245e-20	8.30657714863537e-18
Adenosyl-chloride synthase	0	7	22	55	0	0	33.3333333333333	0	91.6666666666667	100	Adenosyl-chloride synthase	1.58230446928909e-12	6.83951106850209e-10
RecBCD enzyme subunit RecD	0	7	21	55	0	0	33.3333333333333	0	87.5	100	RecBCD enzyme subunit RecD	3.16099364204395e-12	1.0930716014188e-09
Leucotoxin LukDv	1	6	21	55	0	33.3333333333333	28.5714285714286	0	87.5	100	Leucotoxin LukDv	9.37482723992889e-12	2.70151271630618e-09
Formate dehydrogenase	1	7	23	55	1	33.3333333333333	33.3333333333333	50	95.8333333333333	100	Formate dehydrogenase	1.49862300643984e-11	3.23889897266809e-09
Protease synthase and sporulation protein PAI 2	2	14	1	0	2	66.6666666666667	66.6666666666667	100	4.16666666666667	0	Protease synthase and sporulation protein PAI 2	1.49862300643982e-11	3.23889897266809e-09
Aminoglycoside 3'-phosphotransferase	1	0	0	32	0	33.3333333333333	0	0	0	58.1818181818182	Aminoglycoside 3'-phosphotransferase	5.92511808884066e-11	8.53896164246794e-09
Antitoxin RelJ	1	7	22	55	0	33.3333333333333	33.3333333333333	0	91.6666666666667	100	Antitoxin RelJ	4.59148678232541e-11	8.53896164246794e-09
Antitoxin YefM	2	8	24	55	0	66.6666666666667	38.0952380952381	0	100	100	Antitoxin YefM	7.4080060518807e-11	8.53896164246794e-09
HTH-type transcriptional regulator LrpC	1	13	0	0	1	33.3333333333333	61.9047619047619	50	0	0	HTH-type transcriptional regulator LrpC	7.4080060518808e-11	8.53896164246794e-09
HTH-type transcriptional regulator Xre	0	13	0	0	0	0	61.9047619047619	0	0	0	HTH-type transcriptional regulator Xre	7.2800086728183e-11	8.53896164246794e-09
Mannitol-specific cryptic phosphotransferase enzyme IIA component	2	8	24	55	1	66.6666666666667	38.0952380952381	50	100	100	Mannitol-specific cryptic phosphotransferase enzyme IIA component	7.4080060518807e-11	8.53896164246794e-09
Nickel import ATP-binding protein NikE	3	8	24	55	2	100	38.0952380952381	100	100	100	Nickel import ATP-binding protein NikE	7.28000867281817e-11	8.53896164246794e-09
dTDP-fucosamine acetyltransferase	1	0	0	31	0	33.3333333333333	0	0	0	56.3636363636364	dTDP-fucosamine acetyltransferase	1.68760815775799e-10	1.82367156547723e-08
Serine protease SplB	2	7	22	55	0	66.6666666666667	33.3333333333333	0	91.6666666666667	100	Serine protease SplB	2.17548958504097e-10	2.08967860696435e-08
Serine protease SplC	2	7	22	55	0	66.6666666666667	33.3333333333333	0	91.6666666666667	100	Serine protease SplC	2.17548958504097e-10	2.08967860696435e-08
[LysW]-lysine hydrolase	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	[LysW]-lysine hydrolase	7.39380764129277e-10	4.56567621849832e-08
1-deoxy-D-xylulose-5-phosphate synthase	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	1-deoxy-D-xylulose-5-phosphate synthase	7.39380764129277e-10	4.56567621849832e-08
Alanine--anticapsin ligase	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	Alanine--anticapsin ligase	7.39380764129277e-10	4.56567621849832e-08
Alpha-aminoadipate--LysW ligase LysX	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	Alpha-aminoadipate--LysW ligase LysX	7.39380764129277e-10	4.56567621849832e-08
Ferredoxin fas2	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	Ferredoxin fas2	7.39380764129277e-10	4.56567621849832e-08
GDP-perosamine synthase	1	13	1	0	1	33.3333333333333	61.9047619047619	50	4.16666666666667	0	GDP-perosamine synthase	7.39380764129277e-10	4.56567621849832e-08
Metallothiol transferase FosB	2	8	15	55	0	66.6666666666667	38.0952380952381	0	62.5	100	Metallothiol transferase FosB	5.91866813257432e-10	4.56567621849832e-08
Organic hydroperoxide resistance transcriptional regulator	1	2	2	40	0	33.3333333333333	9.52380952380952	0	8.33333333333333	72.7272727272727	Organic hydroperoxide resistance transcriptional regulator	5.978001008292e-10	4.56567621849832e-08
putative acrylyl-CoA reductase AcuI	1	2	2	40	0	33.3333333333333	9.52380952380952	0	8.33333333333333	72.7272727272727	putative acrylyl-CoA reductase AcuI	5.978001008292e-10	4.56567621849832e-08
Pyrophosphatase PpaX	2	8	23	55	1	66.6666666666667	38.0952380952381	50	95.8333333333333	100	Pyrophosphatase PpaX	7.39380764129282e-10	4.56567621849832e-08
