	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105
1	2644	525	25	0	64	245	152	8	97	42	172	1	0	101	50	211	9	35	50	4	92	73	9	37	46	97	50	11	31	4	58	12	22	94	9	72	11	74	33	0	5	44	28	52	18	46	159	34	52	4	36	0	46	40	31	32	30	0	85	15	41	54	10	8	21	25	8	23	0	1	26	1	100	3	18	41	6	9	6	3	31	1	5	33	12	1	55	0	20	0	4	17	8	0	11	27	9	15	12	25	5	88	22	2	13
2	2725	230	358	180	109	111	44	61	218	154	220	38	32	19	47	23	0	46	50	22	32	9	0	0	46	25	31	81	4	38	75	0	28	190	32	40	17	0	36	25	13	58	9	31	0	86	28	61	43	3	18	74	2	2	45	4	0	15	10	1	35	68	14	21	20	26	42	32	6	12	1	51	1	44	12	18	2	48	1	15	6	28	34	4	30	30	8	17	51	88	8	10	59	0	33	1	5	19	3	1	0	0	0	7	37
3	2651	376	161	337	292	63	177	94	73	1	73	0	61	7	58	0	144	134	14	79	100	0	23	32	15	10	0	38	162	22	17	20	10	15	2	52	12	43	40	5	43	49	37	63	3	6	15	3	0	0	25	52	63	2	39	43	21	27	12	30	7	19	13	0	5	8	24	33	11	0	29	27	72	40	50	43	92	25	0	26	39	31	27	12	3	4	1	96	0	0	1	25	0	1	24	13	4	6	2	21	19	23	4	8	13
4	2661	599	326	7	117	81	3	14	217	0	140	59	60	49	46	43	12	154	14	58	60	30	6	35	2	81	74	3	48	0	1	58	139	61	40	13	35	3	29	68	29	151	0	0	14	32	31	47	37	53	18	31	23	7	1	8	6	59	1	45	21	8	99	0	5	0	5	76	27	7	30	44	2	10	10	4	12	15	16	58	4	40	25	4	26	31	0	24	19	13	39	8	10	0	23	4	25	3	12	12	0	0	6	23	8
5	2659	442	301	110	92	125	164	275	54	64	74	20	86	229	6	40	35	107	1	91	12	52	118	1	20	12	0	1	25	73	18	11	46	46	25	42	72	33	0	43	47	20	21	15	21	15	65	17	0	2	7	5	11	0	31	7	27	5	59	29	0	75	5	41	4	0	7	25	15	16	18	23	39	27	47	18	26	0	6	21	2	0	0	11	21	90	42	12	1	9	1	10	23	14	30	1	24	4	16	2	53	4	24	6	5
6	2671	175	270	347	242	80	174	78	139	52	46	52	55	97	5	47	40	59	5	123	51	3	45	33	28	0	35	14	43	1	77	12	106	1	9	4	37	0	71	5	21	1	6	61	31	30	12	34	10	33	4	45	62	17	37	10	8	45	167	43	9	11	0	23	69	3	2	54	20	18	0	0	20	11	48	24	0	31	18	6	69	1	0	1	51	93	2	33	14	10	2	8	23	1	24	25	20	1	6	15	0	40	3	4	25
7	2565	424	260	155	293	131	34	16	255	39	0	104	46	35	62	41	210	41	56	120	0	59	0	16	35	111	29	49	34	8	0	36	4	21	29	12	8	46	54	33	1	32	4	4	0	20	6	44	20	21	3	13	71	26	8	81	7	31	4	0	0	0	62	64	8	25	3	3	16	2	2	1	23	25	6	61	35	18	54	15	89	22	4	0	0	11	60	20	11	12	11	14	24	38	5	0	4	38	46	39	5	37	8	49	10
8	2602	454	100	178	328	63	93	10	16	106	80	89	51	72	74	54	0	60	48	16	80	32	198	69	33	0	42	95	11	43	6	4	16	20	25	13	52	19	39	3	56	18	24	0	57	3	102	27	19	0	50	4	3	32	15	4	13	4	8	0	8	40	2	0	1	27	0	3	102	14	156	11	36	24	0	44	9	62	20	0	19	45	22	7	22	25	0	97	1	0	1	2	9	31	24	51	12	4	16	0	6	40	38	53	30
9	2781	22	340	121	197	108	178	46	130	97	57	11	212	40	6	60	74	85	52	36	123	47	58	61	22	76	57	4	35	9	14	35	93	15	31	36	0	44	56	98	26	5	3	34	38	13	44	21	42	14	7	2	41	32	25	58	2	10	7	7	15	48	5	10	29	0	29	0	25	57	32	0	61	1	95	5	1	37	0	62	51	51	18	1	3	40	2	20	9	25	0	23	0	24	2	1	0	10	10	8	19	0	11	4	5
10	2658	298	362	117	214	51	163	75	36	46	117	111	13	48	36	51	79	131	30	75	88	14	1	47	76	51	0	21	11	2	5	25	19	37	5	23	16	33	41	149	8	2	22	0	9	47	18	42	30	47	99	19	2	9	26	7	15	42	0	0	20	9	32	9	51	13	79	7	138	48	27	3	19	55	25	19	0	7	0	1	9	1	2	95	49	1	1	26	0	24	23	24	38	0	0	16	45	5	37	25	4	2	24	12	3
