"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"Int-Tn","","Transposase from transposon Tn916","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_1965","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"tee6","","Trypsin-resistant surface T6 protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_30","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_3149","","Antitoxin","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_3161","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4920","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4923","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4943","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"bcrC_2","","Undecaprenyl-diphosphatase BcrC","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4961","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4965","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4970","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4971","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4976","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4981","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4990","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_4992","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5007","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5019","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5020","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"yfnB_2","","Putative HAD-hydrolase YfnB","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5025","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5026","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5027","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5041","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5046","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5047","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"atl_2","","Bifunctional autolysin","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_5067","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7821","yjcG_1","Putative phosphoesterase YjcG","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7822","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7823","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7828","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"pkn1","","Serine/threonine-protein kinase pkn1","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7833","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7834","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7839","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7884","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7885","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7886","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7888","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7889","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7899","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7909","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7919","sap_3","S-layer protein sap","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7920","","Ribonuclease","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"yxxD_1","","Antitoxin YxxD","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7931","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7932","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7934","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7935","","putative response regulatory protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"yehU","","Sensor histidine kinase YehU","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7937","oppF_1","Oligopeptide transport ATP-binding protein OppF","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7938","oppD_1","Oligopeptide transport ATP-binding protein OppD","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"gsiC_1","","Glutathione transport system permease protein GsiC","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"gsiD_1","","Glutathione transport system permease protein GsiD","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"gsiB","","Glutathione-binding protein GsiB","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"atzC_2","","N-isopropylammelide isopropyl amidohydrolase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"atzC_1","","N-isopropylammelide isopropyl amidohydrolase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_7944","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8001","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"yveL","","Putative tyrosine-protein kinase YveL","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8003","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
