"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_10227","","tRNA-Glu(ttc)","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_10341","","tRNA-Phe(gaa)","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_10342","","tRNA-Phe(gaa)","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_10451","","tRNA-Lys(ttt)","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"ytrB_4","","ABC transporter ATP-binding protein YtrB","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1425","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1875","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1949","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1950","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1972","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_1974","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_25","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_259","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_277","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_31","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_3106","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_3162","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"stkP","","Serine/threonine-protein kinase StkP","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_326","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_5110","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_5113","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_5114","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_5119","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"lytF_2","","Peptidoglycan endopeptidase LytF","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"yocH_7","","Cell wall-binding protein YocH","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_572","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_9120","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"plsY_2","","Glycerol-3-phosphate acyltransferase","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_9122","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_9123","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"group_9124","","hypothetical protein","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
"otcC","","Anhydrotetracycline monooxygenase","8","0","0","8","100.0","100.0","inf","0.00015540015540015518","1.0","0.004222349418078949","1","1","0","1.0","1.0"
