Gene	Non-unique Gene name	Annotation
group_1000		hypothetical protein
menE		2-succinylbenzoate--CoA ligase
gntT		High-affinity gluconate transporter
pitA_2		L-methionine sulfoximine/L-methionine sulfone acetyltransferase
clpL		ATP-dependent Clp protease ATP-binding subunit ClpL
group_1020		Putative acetyltransferase
group_1022		hypothetical protein
asp3		Accessory Sec system protein Asp3
group_1038		hypothetical protein
bacC		Dihydroanticapsin 7-dehydrogenase
cpdA		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
sirB		Sirohydrochlorin ferrochelatase
nasF		Uroporphyrinogen-III C-methyltransferase
cobB		NAD-dependent protein deacetylase
adhR		HTH-type transcriptional regulator AdhR
isdB		Iron-regulated surface determinant protein B
tagE_1		Poly(glycerol-phosphate) alpha-glucosyltransferase
yknY_1		putative ABC transporter ATP-binding protein
menH		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
bshC		Putative cysteine ligase BshC
pnp		Polyribonucleotide nucleotidyltransferase
metN		Methionine import ATP-binding protein MetN
group_1229		hypothetical protein
group_1230		hypothetical protein
group_1231		hypothetical protein
ydaF		Putative ribosomal N-acetyltransferase YdaF
group_1234		hypothetical protein
group_1235		hypothetical protein
rfbX		Putative O-antigen transporter
trpG_2		Anthranilate synthase component 2
trpC		Indole-3-glycerol phosphate synthase
group_1268		hypothetical protein
group_1269		hypothetical protein
sirC		Precorrin-2 dehydrogenase
msrAB		Peptide methionine sulfoxide reductase msrA/msrB
hisH		Imidazole glycerol phosphate synthase subunit HisH
group_1283		Lactonase drp35
pgcA		Phosphoglucomutase
group_1303		hypothetical protein
group_1304		putative oxidoreductase
sbi		Immunoglobulin-binding protein sbi
group_1313		hypothetical protein
ylmA		putative ABC transporter ATP-binding protein YlmA
group_1374		hypothetical protein
yhfT		putative acyl--CoA ligase YhfT
group_1459		hypothetical protein
group_1461		hypothetical protein
group_1473		hypothetical protein
group_1477		hypothetical protein
oppF_1		Oligopeptide transport ATP-binding protein OppF
group_1481		hypothetical protein
rnhC		Ribonuclease HIII
group_1496		hypothetical protein
rnj2		Ribonuclease J 2
group_1524		putative leukocidin-like protein 2
scrK		Fructokinase
nudC		NADH pyrophosphatase
group_1534		Lipoate--protein ligase 2
nanA		N-acetylneuraminate lyase
group_1545		hypothetical protein
yfhA		putative siderophore transport system permease protein YfhA
group_1561		hypothetical protein
trpA		Tryptophan synthase alpha chain
group_1578		hypothetical protein
kipA_2		KipI antagonist
comC		Type 4 prepilin-like proteins leader peptide-processing enzyme
pyk		Pyruvate kinase
group_1597		hypothetical protein
iscS_2		Cysteine desulfurase IscS
gph_3		Phosphoglycolate phosphatase
acuA		Acetoin utilization protein AcuA
group_1611		hypothetical protein
ogt		Methylated-DNA--protein-cysteine methyltransferase
acrR		HTH-type transcriptional regulator AcrR
group_1619		hypothetical protein
group_1620		hypothetical protein
group_1623		hypothetical protein
asp2		Accessory Sec system protein Asp2
group_1639		hypothetical protein
group_1648		hypothetical protein
ygaZ		Inner membrane protein YgaZ
group_1653		hypothetical protein
group_1658		putative HTH-type transcriptional regulator
group_1660		hypothetical protein
ytmI		putative N-acetyltransferase YtmI
mnaA_2		UDP-N-acetylglucosamine 2-epimerase
group_1669		hypothetical protein
iucC_3		Aerobactin synthase
group_1745		hypothetical protein
atl_2		Bifunctional autolysin
group_1832		hypothetical protein
dhaL		PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
tetA_2		Tetracycline resistance protein, class B
aroD		3-dehydroquinate dehydratase
rnmV_2		Ribonuclease M5
mggB_2		Mannosylglucosyl-3-phosphoglycerate phosphatase
group_1873		hypothetical protein
group_1874		hypothetical protein
rimI_3		hypothetical protein
sspB		Staphopain B
group_1880		Acetyltransferase
purC		Phosphoribosylaminoimidazole-succinocarboxamide synthase
nrdH		Glutaredoxin-like protein NrdH
group_1887		hypothetical protein
glpQ1		putative glycerophosphodiester phosphodiesterase 1
group_1908		hypothetical protein
group_1914		hypothetical protein
xerC_1		Tyrosine recombinase XerC
queE_2		7-carboxy-7-deazaguanine synthase
tsaB		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
treP_1		PTS system trehalose-specific EIIBC component
sle1_1		N-acetylmuramoyl-L-alanine amidase sle1
group_1973		hypothetical protein
ytrB		ABC transporter ATP-binding protein YtrB
mhqA_1		Putative ring-cleaving dioxygenase MhqA
group_1989		hypothetical protein
hmp		Flavohemoprotein
carA_1		Caffeate CoA-transferase
argC		N-acetyl-gamma-glutamyl-phosphate reductase
argJ		Arginine biosynthesis bifunctional protein ArgJ
argB		Acetylglutamate kinase
gnu		N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
group_2000		hypothetical protein
group_2005		hypothetical protein
wbnH		O-antigen biosynthesis glycosyltransferase WbnH
tetA_1		Tetracycline resistance protein, class B
group_2009		hypothetical protein
dapB		4-hydroxy-tetrahydrodipicolinate reductase
group_2040		hypothetical protein
ribU		Riboflavin transporter RibU
pepT_2		Peptidase T
gluP		Rhomboid protease GluP
hemN		Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
accB_1		Biotin carboxyl carrier protein of acetyl-CoA carboxylase
group_2067		hypothetical protein
group_2068		hypothetical protein
sdpR		Transcriptional repressor SdpR
crcB_2		Putative fluoride ion transporter CrcB
yvgN		Glyoxal reductase
xylB		Xylulose kinase
group_2084		hypothetical protein
crtN		Dehydrosqualene desaturase
group_2092		hypothetical protein
group_2093		hypothetical protein
group_2094		hypothetical protein
manP		PTS system mannose-specific EIIBCA component
group_2101		hypothetical protein
nixA		High-affinity nickel-transport protein NixA
moaD		Molybdopterin synthase sulfur carrier subunit
mobB		Molybdopterin-guanine dinucleotide biosynthesis adapter protein
group_2118		Urea transporter
group_2119		hypothetical protein
group_2120		hypothetical protein
lyrA		Lysostaphin resistance protein A
group_2128		hypothetical protein
fetA		putative iron export ATP-binding protein FetA
yveA		Aspartate-proton symporter
opuCC		Carnitine transport binding protein OpuCC
group_2133		hypothetical protein
bioK		L-Lysine--8-amino-7-oxononanoate transaminase
hlgC		Gamma-hemolysin component C
group_2140		Acid shock protein
ydaG		General stress protein 26
treP_2		PTS system trehalose-specific EIIBC component
kdpC		Potassium-transporting ATPase KdpC subunit
group_2146		hypothetical protein
group_2149		hypothetical protein
group_2150		hypothetical protein
glmS		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
yxeP_2		putative hydrolase YxeP
yfmJ		Putative NADP-dependent oxidoreductase YfmJ
group_2159		65 kDa membrane protein
ftsH		ATP-dependent zinc metalloprotease FtsH
group_2164		hypothetical protein
ydbM		Putative acyl-CoA dehydrogenase YdbM
emrB_1		Multidrug export protein EmrB
fhs		Formate--tetrahydrofolate ligase
divIB		Cell division protein DivIB
group_2344		putative oxidoreductase
tagE_2		Poly(glycerol-phosphate) alpha-glucosyltransferase
group_2373		hypothetical protein
yhdN_1		General stress protein 69
ywiB		putative beta-barrel protein YwiB
group_2379		hypothetical protein
ideR		Iron-dependent repressor IdeR
feuC_1		Iron-uptake system permease protein FeuC
dhaM		PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
group_2387		hypothetical protein
graR_1		Response regulator protein GraR
graS_1		Sensor histidine kinase GraS
group_2392		hypothetical protein
group_2393		hypothetical protein
cydD		ATP-binding/permease protein CydD
yciC_2		Putative metal chaperone YciC
group_2397		hypothetical protein
nagA		N-acetylglucosamine-6-phosphate deacetylase
dkgA		putative oxidoreductase/MSMEI_2347
hisC_1		Histidinol-phosphate aminotransferase
yusV		putative siderophore transport system ATP-binding protein YusV
group_2406		Epimerase family protein
est_2		Carboxylesterase
group_2424		Organic hydroperoxide resistance protein-like protein
group_2425		hypothetical protein
group_2426		hypothetical protein
kapB		Kinase-associated lipoprotein B
spsB_1		Signal peptidase IB
group_2431		hypothetical protein
oppB		Oligopeptide transport system permease protein OppB
murE		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
group_2438		hypothetical protein
group_2439		hypothetical protein
pchA		Salicylate biosynthesis isochorismate synthase
menD		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
purD		Phosphoribosylamine--glycine ligase
group_2443		hypothetical protein
group_2445		hypothetical protein
typA		GTP-binding protein TypA/BipA
ileS		Isoleucine--tRNA ligase
fapR		Transcription factor FapR
codY		GTP-sensing transcriptional pleiotropic repressor CodY
phaB		Acetoacetyl-CoA reductase
cinA		Putative competence-damage inducible protein
group_2485		hypothetical protein
group_2486		hypothetical protein
pcrB		Heptaprenylglyceryl phosphate synthase
group_2494		hypothetical protein
group_2495		hypothetical protein
aspC		Aspartate aminotransferase
group_2529		hypothetical protein
group_253		hypothetical protein
group_2532		hypothetical protein
leuD		3-isopropylmalate dehydratase small subunit
group_2536		hypothetical protein
treR_2		HTH-type transcriptional regulator TreR
treA		Trehalose-6-phosphate hydrolase
group_2541		hypothetical protein
group_2544		hypothetical protein
nuoL		NADH-quinone oxidoreductase subunit L
qorB		Quinone oxidoreductase 2
group_2553		hypothetical protein
gpmA_1		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
ykuT		putative MscS family protein YkuT
group_2556		hypothetical protein
tatAy		Sec-independent protein translocase protein TatAy
group_2565		putative ABC transporter permease
brnQ_2		Branched-chain amino acid transport system 2 carrier protein
degA		HTH-type transcriptional regulator DegA
rebM		Demethylrebeccamycin-D-glucose O-methyltransferase
scdA		Iron-sulfur cluster repair protein ScdA
group_2583		hypothetical protein
ugpQ		Glycerophosphodiester phosphodiesterase, cytoplasmic
lytM_1		Glycyl-glycine endopeptidase LytM
group_2593		hypothetical protein
group_2595		hypothetical protein
cmpC		Bicarbonate transport ATP-binding protein CmpC
cmpD		Bicarbonate transport ATP-binding protein CmpD
cap8A_1		Capsular polysaccharide type 8 biosynthesis protein cap8A
yfkN_1		Trifunctional nucleotide phosphoesterase protein YfkN
deoB		Phosphopentomutase
btrK		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
norB_1		Quinolone resistance protein NorB
group_2615		hypothetical protein
miaA		tRNA dimethylallyltransferase
hfq		RNA-binding protein Hfq
tqsA		AI-2 transport protein TqsA
tyrA		Prephenate dehydrogenase
trpE		Anthranilate synthase component 1
phoU		Phosphate-specific transport system accessory protein PhoU
alr1_1		Alanine racemase 1
lysA		Diaminopimelate decarboxylase
yccX		Acylphosphatase
tdcB		L-threonine dehydratase catabolic TdcB
ald1		Alanine dehydrogenase 1
group_2641		hypothetical protein
cca		CCA-adding enzyme
group_2643		hypothetical protein
aroA		3-phosphoshikimate 1-carboxyvinyltransferase
group_2645		hypothetical protein
scpB		Segregation and condensation protein B
group_2647		hypothetical protein
nusB		N utilization substance protein B 
group_2655		hypothetical protein
group_2657		hypothetical protein
group_2659		5-formyltetrahydrofolate cyclo-ligase
znuC_2		High-affinity zinc uptake system ATP-binding protein ZnuC
sigA		RNA polymerase sigma factor SigA
dnaK		Chaperone protein DnaK
lepA		Elongation factor 4
group_2669		hypothetical protein
lytC		N-acetylmuramoyl-L-alanine amidase LytC
recJ		Single-stranded-DNA-specific exonuclease RecJ
group_2676		hypothetical protein
group_2677		hypothetical protein
fpgS		Folylpolyglutamate synthase
acuC		Acetoin utilization protein AcuC
group_2687		hypothetical protein
rsuA		Ribosomal small subunit pseudouridine synthase A
group_2689		Ferredoxin--NADP reductase
rsmH_2		Ribosomal RNA small subunit methyltransferase H
ribBA		Riboflavin biosynthesis protein RibBA
arsB		Arsenical pump membrane protein
crcB_1		Putative fluoride ion transporter CrcB
group_2701		hypothetical protein
yidD		Putative membrane protein insertion efficiency factor
fbp		Fructose-1,6-bisphosphatase class 3
mhqA_3		Putative ring-cleaving dioxygenase MhqA
catE_2		Catechol-2,3-dioxygenase
feoB_1		Fe(2 ) transporter FeoB
crtM		Dehydrosqualene synthase
crtQ		4,4'-diaponeurosporenoate glycosyltransferase
crtP		Diapolycopene oxygenase
ssaA_2		Staphylococcal secretory antigen SsaA
isaA		putative transglycosylase IsaA
group_2721		hypothetical protein
group_2722		hypothetical protein
group_2723		hypothetical protein
group_2724		Baeyer-Villiger flavin-containing monooxygenase
betA		Oxygen-dependent choline dehydrogenase
group_2742		hypothetical protein
argR_2		Arginine repressor
manR_2		Transcriptional regulator ManR
gtf2		Glycosyltransferase-stabilizing protein Gtf2
hisD		Histidinol dehydrogenase
hisZ		ATP phosphoribosyltransferase regulatory subunit
yceI		Protein YceI
hutH		Histidine ammonia-lyase
group_2767		hypothetical protein
yycI		Two-component system WalR/WalK regulatory protein YycI
ecfT		Energy-coupling factor transporter transmembrane protein EcfT
ecfA2		Energy-coupling factor transporter ATP-binding protein EcfA2
rplV		50S ribosomal protein L22
swrC		Swarming motility protein SwrC
group_2775		hypothetical protein
group_2776		putative HTH-type transcriptional regulator
moaB		Molybdenum cofactor biosynthesis protein B
modA		Molybdate-binding periplasmic protein
ureB		Urease subunit beta
ssaA2_2		Staphylococcal secretory antigen ssaA2
hrtA_2		Putative hemin import ATP-binding protein HrtA
dapF		Diaminopimelate epimerase
oppD_1		Oligopeptide transport ATP-binding protein OppD
sapF		Putrescine export system ATP-binding protein SapF
opuCA		Carnitine transport ATP-binding protein OpuCA
panE		2-dehydropantoate 2-reductase
garK_2		Glycerate 2-kinase
group_2801		8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
bioW		6-carboxyhexanoate--CoA ligase
group_2803		hypothetical protein
tcyC_1		L-cystine import ATP-binding protein TcyC
bdbD		Disulfide bond formation protein D
group_2811		hypothetical protein
nasE		Assimilatory nitrite reductase [NAD(P)H] small subunit
sarZ		HTH-type transcriptional regulator SarZ
group_2820		Protein SprT-like protein
group_2821		hypothetical protein
cshA		DEAD-box ATP-dependent RNA helicase CshA
group_2825		hypothetical protein
group_2826		hypothetical protein
thiE		Thiamine-phosphate synthase
thiD		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
tenA		Aminopyrimidine aminohydrolase
sceD		putative transglycosylase SceD
ywlC		Threonylcarbamoyl-AMP synthase
rpoE		putative DNA-directed RNA polymerase subunit delta
mtlA		PTS system mannitol-specific EIICB component
mtlR		Transcriptional regulator MtlR
dgk		Deoxyguanosine kinase
group_2852		putative epimerase/dehydratase
araB		Ribulokinase
rplGB		Ribosome-associated protein L7Ae-like protein
sepA		Multidrug resistance efflux pump SepA
group_2867		hypothetical protein
group_2870		hypothetical protein
lacE		PTS system lactose-specific EIICB component
yvgN_1		putative oxidoreductase/MSMEI_2347
aldC_1		Alpha-acetolactate decarboxylase
group_2876		hypothetical protein
yabJ		2-iminobutanoate/2-iminopropanoate deaminase
mazG		Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG
folP		Dihydropteroate synthase
artQ		Arginine transport system permease protein ArtQ
group_2899		hypothetical protein
group_2900		hypothetical protein
ywtF		Putative transcriptional regulator YwtF
group_2937		hypothetical protein
lgt		Prolipoprotein diacylglyceryl transferase
ilvE		putative branched-chain-amino-acid aminotransferase
rsmA		Ribosomal RNA small subunit methyltransferase A
bshB2		putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
yhfS		Putative acetyl-CoA C-acetyltransferase YhfS
mshD		Mycothiol acetyltransferase
group_3176		hypothetical protein
group_3177		putative ABC transporter permease protein
hdl IVa		(S)-2-haloacid dehalogenase 4A
mntA		Manganese-binding lipoprotein MntA
group_3182		hypothetical protein
aes		Acetyl esterase
rimI_1		N-alpha-acetyltransferase RimI
bceA_1		Bacitracin export ATP-binding protein BceA
bceB_1		Bacitracin export permease protein BceB
yvdD		LOG family protein YvdD
group_3194		hypothetical protein
group_3195		hypothetical protein
uppP		Undecaprenyl-diphosphatase
ydhF		Oxidoreductase YdhF
ybhI		Inner membrane protein YbhI
trpG_1		Anthranilate synthase component 2
group_3201		hypothetical protein
kipA_1		KipI antagonist
ribN		Riboflavin transporter
feuC_2		Iron-uptake system permease protein FeuC
yclQ		putative ABC transporter solute-binding protein YclQ
group_3206		hypothetical protein
comFA		ComF operon protein 1
group_3208		hypothetical protein
uvrA		UvrABC system protein A
maa		Maltose O-acetyltransferase
ydbP		Thioredoxin-like protein YdbP
gcvH		Glycine cleavage system H protein
trxA_1		Thioredoxin
metP_2		Methionine import system permease protein MetP
metQ_2		Methionine-binding lipoprotein MetQ
sufU		Zinc-dependent sulfurtransferase SufU
tlyC		Hemolysin C
group_3238		Putative monooxygenase
group_3239		hypothetical protein
group_3240		hypothetical protein
group_3241		hypothetical protein
addB		ATP-dependent helicase/deoxyribonuclease subunit B
clpB		Chaperone protein ClpB
fabH		3-oxoacyl-[acyl-carrier-protein] synthase 3
yjbK		Putative triphosphatase YjbK
group_3249		hypothetical protein
rluD_1		Ribosomal large subunit pseudouridine synthase D
ugtP		Processive diacylglycerol beta-glucosyltransferase
yfkN_2		Trifunctional nucleotide phosphoesterase protein YfkN
patA_2		Putative N-acetyl-LL-diaminopimelate aminotransferase
purS		Phosphoribosylformylglycinamidine synthase subunit PurS
purN		Phosphoribosylglycinamide formyltransferase
ykoC_1		Putative HMP/thiamine permease protein YkoC
rlmI		Ribosomal RNA large subunit methyltransferase I
ythB		Putative cytochrome bd menaquinol oxidase subunit II
ktrA		Ktr system potassium uptake protein A
ftsW		putative peptidoglycan glycosyltransferase FtsW
ctaA		Heme A synthase
isdC		Iron-regulated surface determinant protein C
isdF		putative heme-iron transport system permease protein IsdF
group_3271		Putative TrmH family tRNA/rRNA methyltransferase
group_3272		hypothetical protein
mraZ		Transcriptional regulator MraZ
divIVA		Septum site-determining protein DivIVA
pyrF		Orotidine 5'-phosphate decarboxylase
pyrE		Orotate phosphoribosyltransferase
