	BE_Earth	BE_ISS	Cul_Earth	Cul_SC	Human	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	Cul_Earth_prop	Cul_SC_prop	fxn	p.val	p.adj.BH
Alpha-D-kanosaminyltransferase	0	8	0	0	0	4	0	100	36.3636363636364	0	0	0	Alpha-D-kanosaminyltransferase	9.03002765666656e-09	1.5023886788961e-05
Cold shock-like protein CspLA	0	8	0	0	0	3	0	100	27.2727272727273	0	0	0	Cold shock-like protein CspLA	1.55045271299907e-08	1.5023886788961e-05
Ubiquinone biosynthesis O-methyltransferase	0	8	0	0	0	1	0	100	9.09090909090909	0	0	0	Ubiquinone biosynthesis O-methyltransferase	1.43212311246708e-08	1.5023886788961e-05
Anhydrotetracycline monooxygenase	0	8	0	0	1	0	0	100	0	3.03030303030303	0	0	Anhydrotetracycline monooxygenase	4.20810564550677e-08	2.44659262229764e-05
Serine/threonine-protein kinase StkP	0	8	0	0	1	0	0	100	0	3.03030303030303	0	0	Serine/threonine-protein kinase StkP	4.20810564550677e-08	2.44659262229764e-05
Putative acyl-[acyl-carrier-protein] desaturase DesA1	0	8	0	0	1	4	0	100	36.3636363636364	3.03030303030303	0	0	Putative acyl-[acyl-carrier-protein] desaturase DesA1	2.008231281304e-07	8.33989762107247e-05
Type IV secretion system protein VirB11	1	8	0	0	2	0	100	100	0	6.06060606060606	0	0	Type IV secretion system protein VirB11	1.74609335017143e-07	8.33989762107247e-05
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	1	0	1	2	32	8	100	0	72.7272727272727	96.969696969697	100	100	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	3.10334279751789e-07	0.000100237972359828
UDP-N-acetyl-D-mannosamine dehydrogenase	0	8	0	0	2	6	0	100	54.5454545454545	6.06060606060606	0	0	UDP-N-acetyl-D-mannosamine dehydrogenase	2.78860014515856e-07	0.000100237972359828
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	1	8	0	0	4	7	100	100	63.6363636363636	12.1212121212121	0	0	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	1.8182704701718e-06	0.00026428561283947
5-dehydro-2-deoxygluconokinase	1	8	0	0	4	7	100	100	63.6363636363636	12.1212121212121	0	0	5-dehydro-2-deoxygluconokinase	1.8182704701718e-06	0.00026428561283947
