ProkID	CheckM Bin Id	Seq_Tech	Assembly_Method	Genome_Coverage	Assembly_Level	RGA	Seq_Tech2	Assembler2	Gravity	Category	Sample Type	Health_comments	Sample_Site	Sample_Site_2	Strain	Culture_Media	Reference
GCA_001078665_prok	GCA_001078665.1_ASM107866v1_genomic	Illumina HiSeq	SOAPdenovo v. 2.04	15	Scaffold		Illumina	SOAPdenovo	Earth	Soil	Soil		China	China	PX03	NA	Zhang et al. 2017
GCA_001306505_prok	GCA_001306505.1_ASM130650v1_genomic	Illumina	CLC Genomics Workbench v. 8.2	468	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Paulo	Brazil: Sao Paulo	HOU1445-VS	Brain heart infusion agar	Panesso D et al. 2015
GCA_001306525_prok	GCA_001306525.1_ASM130652v1_genomic	Illumina	CLC Genomics Workbench v. 8.2	539	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Paulo	Brazil: Sao Paulo	HOU1444-VR	Brain heart infusion agar	Panesso D et al. 2015
GCA_001566905_prok	GCA_001566905.1_ASM156690v1_genomic	Illumina HiSeq	Velvet v. 1.2.10	390	Contig	de-novo	Illumina	Velvet	Earth	Soil	Soil	Hexachlorocyclohexane-Contaminated Soil	France: Huningue	France: Huningue	HUK16	Hexachlorocyclohexane -supplemented liquid medium	Gasc et al. 2016
GCA_001743105_prok	GCA_001743105.1_ASM174310v1_genomic	Illumina NextSeq	A5 v. 20150522	2578	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Cupola wall: Surface (03/05/2015)	Cupola (03/05/2015)	IF6SW-P2	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743125_prok	GCA_001743125.1_ASM174312v1_genomic	Illumina NextSeq	A5 v. 20150522	2517	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (03/05/2015)	PMM port 1 (03/05/2015)	IF6SW-P2-RA	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743135_prok	GCA_001743135.1_ASM174313v1_genomic	Illumina NextSeq	A5 v. 20150522	2554	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (03/05/2015)	PMM port 1 (03/05/2015)	IF6SW-P3A-RA	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743185_prok	GCA_001743185.1_ASM174318v1_genomic	Illumina NextSeq	A5 v. 20150522	2053	Scaffold	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (03/05/2015)	PMM port 1 (03/05/2015)	IF6SW-P3A	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743195_prok	GCA_001743195.1_ASM174319v1_genomic	Illumina NextSeq	A5 v. 20150522	3152	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Lab overhead 3: Surface (03/05/2015)	Lab overhead 3 (03/05/2015)	IF7SW-P3	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743215_prok	GCA_001743215.1_ASM174321v1_genomic	Illumina NextSeq	A5 v. 20150522	2297	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Port crew quarters: Surface (05/15/2015)	Port crew quarters (05/15/2015)	IIF8SW-P1	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743235_prok	GCA_001743235.1_ASM174323v1_genomic	Illumina NextSeq	A5 v. 20150522	2485	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (05/15/2015)	PMM port 1 (05/15/2015)	IIF6SW-P3	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743265_prok	GCA_001743265.1_ASM174326v1_genomic	Illumina NextSeq	A5 v. 20150522	1900	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (05/15/2015)	PMM port 1 (05/15/2015)	IIF6SW-P2-RA	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743275_prok	GCA_001743275.1_ASM174327v1_genomic	Illumina NextSeq	A5 v. 20150522	2149	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (05/15/2015)	PMM port 1 (05/15/2015)	IIF6SW-P3-RA	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743285_prok	GCA_001743285.1_ASM174328v1_genomic	Illumina NextSeq	A5 v. 20150522	2399	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Port crew quarters: Surface (05/15/2015)	Port crew quarters (05/15/2015)	IIF8SW-P2	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
