"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SRR1617632__prok","SRR1656267_prok","SRR1656269__prok","SRR1656335__prok","SRR1656350__prok","SRR2164311__prok","SRR2167785_prok","SRR2171381__prok","SRR2171418__prok","SRR3954738__prok","SRR3954739__prok","SRR3954741__prok","SRR3954742__prok","SRR3954743__prok","SRR3954744__prok","SRR3954745__prok","SRR3954747__prok","SRR4420705__prok"
"group_100","","hypothetical protein","18","18","1","1","10599","","","","344","479","469","SRR1617632__prok_03160","SRR1656267_prok_03522","SRR1656269__prok_02391","SRR1656335__prok_02112","SRR1656350__prok_02451","SRR2164311__prok_03231","SRR2167785_prok_04341","SRR2171381__prok_03936","SRR2171418__prok_02698","SRR3954738__prok_02042","SRR3954739__prok_02661","SRR3954741__prok_02610","SRR3954742__prok_03644","SRR3954743__prok_01804","SRR3954744__prok_01661","SRR3954745__prok_00001","SRR3954747__prok_03832","SRR4420705__prok_01236"
"group_1005","","hypothetical protein","18","18","1","1","6798","","","","407","407","407","SRR1617632__prok_04210","SRR1656267_prok_02467","SRR1656269__prok_03974","SRR1656335__prok_04495","SRR1656350__prok_03112","SRR2164311__prok_04231","SRR2167785_prok_03120","SRR2171381__prok_00528","SRR2171418__prok_03446","SRR3954738__prok_03282","SRR3954739__prok_01945","SRR3954741__prok_03276","SRR3954742__prok_02500","SRR3954743__prok_03874","SRR3954744__prok_04953","SRR3954745__prok_04443","SRR3954747__prok_01757","SRR4420705__prok_04992"
"spoIISA","","Stage II sporulation protein SA","18","18","1","1","6785","","","","737","740","739","SRR1617632__prok_04215","SRR1656267_prok_02472","SRR1656269__prok_03979","SRR1656335__prok_04961","SRR1656350__prok_03107","SRR2164311__prok_04226","SRR2167785_prok_03100","SRR2171381__prok_00523","SRR2171418__prok_03426","SRR3954738__prok_03277","SRR3954739__prok_01940","SRR3954741__prok_03271","SRR3954742__prok_02505","SRR3954743__prok_03879","SRR3954744__prok_04958","SRR3954745__prok_04448","SRR3954747__prok_01762","SRR4420705__prok_04744"
"ylaC_2","","RNA polymerase sigma factor YlaC","18","18","1","1","6740","","","","533","533","533","SRR1617632__prok_04237","SRR1656267_prok_04838","SRR1656269__prok_04020","SRR1656335__prok_04969","SRR1656350__prok_03099","SRR2164311__prok_04204","SRR2167785_prok_03088","SRR2171381__prok_00515","SRR2171418__prok_03414","SRR3954738__prok_03265","SRR3954739__prok_01928","SRR3954741__prok_03259","SRR3954742__prok_02517","SRR3954743__prok_03891","SRR3954744__prok_04970","SRR3954745__prok_04374","SRR3954747__prok_01774","SRR4420705__prok_04620"
"mtnN_3","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","18","18","1","1","6683","","","","710","740","733","SRR1617632__prok_04267","SRR1656267_prok_04870","SRR1656269__prok_04053","SRR1656335__prok_05463","SRR1656350__prok_03071","SRR2164311__prok_04174","SRR2167785_prok_01243","SRR2171381__prok_00458","SRR2171418__prok_00909","SRR3954738__prok_03207","SRR3954739__prok_01870","SRR3954741__prok_03201","SRR3954742__prok_02575","SRR3954743__prok_03949","SRR3954744__prok_05304","SRR3954745__prok_05280","SRR3954747__prok_01832","SRR4420705__prok_05245"
"group_1010","","hypothetical protein","18","18","1","1","6676","","","","560","563","560","SRR1617632__prok_04272","SRR1656267_prok_04408","SRR1656269__prok_04062","SRR1656335__prok_02796","SRR1656350__prok_03061","SRR2164311__prok_04169","SRR2167785_prok_01238","SRR2171381__prok_00453","SRR2171418__prok_00914","SRR3954738__prok_03202","SRR3954739__prok_01865","SRR3954741__prok_03196","SRR3954742__prok_02580","SRR3954743__prok_03954","SRR3954744__prok_05309","SRR3954745__prok_05185","SRR3954747__prok_01837","SRR4420705__prok_05302"
"group_1013","","hypothetical protein","18","18","1","1","6660","","","","317","794","767","SRR1617632__prok_04278","SRR1656267_prok_04416","SRR1656269__prok_04070","SRR1656335__prok_02805","SRR1656350__prok_03052","SRR2164311__prok_04163","SRR2167785_prok_01227","SRR2171381__prok_00444","SRR2171418__prok_00925","SRR3954738__prok_03191","SRR3954739__prok_01854","SRR3954741__prok_03185","SRR3954742__prok_02591","SRR3954743__prok_05245","SRR3954744__prok_01701","SRR3954745__prok_05152","SRR3954747__prok_01848","SRR4420705__prok_04898"
"graS_3","","Sensor histidine kinase GraS","18","18","1","1","8986","","","","974","983","982","SRR1617632__prok_04300","SRR1656267_prok_04439","SRR1656269__prok_04093","SRR1656335__prok_02829","SRR1656350__prok_03028","SRR2164311__prok_04141","SRR2167785_prok_01206","SRR2171381__prok_00425","SRR2171418__prok_00946","SRR3954738__prok_03171","SRR3954739__prok_01834","SRR3954741__prok_03165","SRR3954742__prok_02611","SRR3954743__prok_05265","SRR3954744__prok_01721","SRR3954745__prok_05044","SRR3954747__prok_01868","SRR4420705__prok_04352"
"yheS_1","","putative ABC transporter ATP-binding protein YheS","18","18","1","1","8989","","","","455","1628","1562","SRR1617632__prok_04302","SRR1656267_prok_04441","SRR1656269__prok_04095","SRR1656335__prok_02831","SRR1656350__prok_03026","SRR2164311__prok_04139","SRR2167785_prok_01204","SRR2171381__prok_00423","SRR2171418__prok_00948","SRR3954738__prok_03169","SRR3954739__prok_01832","SRR3954741__prok_03163","SRR3954742__prok_02613","SRR3954743__prok_05267","SRR3954744__prok_01723","SRR3954745__prok_05250","SRR3954747__prok_01870","SRR4420705__prok_04076"
"ddl_1","","D-alanine--D-alanine ligase","18","18","1","1","8946","","","","914","914","914","SRR1617632__prok_04312","SRR1656267_prok_04454","SRR1656269__prok_04107","SRR1656335__prok_05432","SRR1656350__prok_05438","SRR2164311__prok_04129","SRR2167785_prok_01194","SRR2171381__prok_00413","SRR2171418__prok_00959","SRR3954738__prok_03159","SRR3954739__prok_01822","SRR3954741__prok_03153","SRR3954742__prok_02623","SRR3954743__prok_05277","SRR3954744__prok_01733","SRR3954745__prok_05103","SRR3954747__prok_01880","SRR4420705__prok_04067"
